England and Wales Code,England and Wales,Ethnic group (6 categories) Code,Ethnic group (6 categories),Sex (2 categories) Code,Sex (2 categories),Age (23 categories) Code,Age (23 categories),Observation
K04000001,England and Wales,4,White,2,Male,19,Aged 66 to 69 years,1033959
K04000001,England and Wales,4,White,2,Male,20,Aged 70 to 74 years,1344288
K04000001,England and Wales,4,White,2,Male,21,Aged 75 to 79 years,959127
K04000001,England and Wales,4,White,2,Male,22,Aged 80 to 84 years,625718
K04000001,England and Wales,4,White,2,Male,23,Aged 85 years and over,513236
K04000001,England and Wales,5,Other ethnic group,1,Female,1,Aged 2 years and under,23661
K04000001,England and Wales,5,Other ethnic group,1,Female,2,Aged 3 to 4 years,16731
K04000001,England and Wales,5,Other ethnic group,1,Female,3,Aged 5 to 7 years,26684
K04000001,England and Wales,5,Other ethnic group,1,Female,4,Aged 8 to 9 years,18143
K04000001,England and Wales,5,Other ethnic group,1,Female,5,Aged 10 to 14 years,45013
K04000001,England and Wales,5,Other ethnic group,1,Female,6,Aged 15 years,8302
K04000001,England and Wales,5,Other ethnic group,1,Female,7,Aged 16 to 17 years,16446
K04000001,England and Wales,5,Other ethnic group,1,Female,8,Aged 18 to 19 years,16542
K04000001,England and Wales,5,Other ethnic group,1,Female,9,Aged 20 to 24 years,43629
K04000001,England and Wales,5,Other ethnic group,1,Female,10,Aged 25 to 29 years,50813
K04000001,England and Wales,5,Other ethnic group,1,Female,11,Aged 30 to 34 years,59760
K04000001,England and Wales,5,Other ethnic group,1,Female,12,Aged 35 to 39 years,60281
K04000001,England and Wales,5,Other ethnic group,1,Female,13,Aged 40 to 44 years,54570
K04000001,England and Wales,5,Other ethnic group,1,Female,14,Aged 45 to 49 years,44197
K04000001,England and Wales,5,Other ethnic group,1,Female,15,Aged 50 to 54 years,36424
K04000001,England and Wales,5,Other ethnic group,1,Female,16,Aged 55 to 59 years,27960
K04000001,England and Wales,5,Other ethnic group,1,Female,17,Aged 60 to 64 years,21941
K04000001,England and Wales,5,Other ethnic group,1,Female,18,Aged 65 years,3780
K04000001,England and Wales,5,Other ethnic group,1,Female,19,Aged 66 to 69 years,13178
K04000001,England and Wales,5,Other ethnic group,1,Female,20,Aged 70 to 74 years,12291
K04000001,England and Wales,5,Other ethnic group,1,Female,21,Aged 75 to 79 years,7536
K04000001,England and Wales,5,Other ethnic group,1,Female,22,Aged 80 to 84 years,5079
K04000001,England and Wales,5,Other ethnic group,1,Female,23,Aged 85 years and over,4593
K04000001,England and Wales,5,Other ethnic group,2,Male,1,Aged 2 years and under,24594
K04000001,England and Wales,5,Other ethnic group,2,Male,2,Aged 3 to 4 years,17752
K04000001,England and Wales,5,Other ethnic group,2,Male,3,Aged 5 to 7 years,28061
K04000001,England and Wales,5,Other ethnic group,2,Male,4,Aged 8 to 9 years,19501
K04000001,England and Wales,5,Other ethnic group,2,Male,5,Aged 10 to 14 years,48086
K04000001,England and Wales,5,Other ethnic group,2,Male,6,Aged 15 years,8968
K04000001,England and Wales,5,Other ethnic group,2,Male,7,Aged 16 to 17 years,18610
K04000001,England and Wales,5,Other ethnic group,2,Male,8,Aged 18 to 19 years,19551
K04000001,England and Wales,5,Other ethnic group,2,Male,9,Aged 20 to 24 years,46284
K04000001,England and Wales,5,Other ethnic group,2,Male,10,Aged 25 to 29 years,49279
K04000001,England and Wales,5,Other ethnic group,2,Male,11,Aged 30 to 34 years,56149
K04000001,England and Wales,5,Other ethnic group,2,Male,12,Aged 35 to 39 years,58631
K04000001,England and Wales,5,Other ethnic group,2,Male,13,Aged 40 to 44 years,56425
K04000001,England and Wales,5,Other ethnic group,2,Male,14,Aged 45 to 49 years,47541
K04000001,England and Wales,5,Other ethnic group,2,Male,15,Aged 50 to 54 years,39737
K04000001,England and Wales,5,Other ethnic group,2,Male,16,Aged 55 to 59 years,31322
K04000001,England and Wales,5,Other ethnic group,2,Male,17,Aged 60 to 64 years,23823
K04000001,England and Wales,5,Other ethnic group,2,Male,18,Aged 65 years,3970
K04000001,England and Wales,5,Other ethnic group,2,Male,19,Aged 66 to 69 years,13361
K04000001,England and Wales,5,Other ethnic group,2,Male,20,Aged 70 to 74 years,11921
K04000001,England and Wales,5,Other ethnic group,2,Male,21,Aged 75 to 79 years,7081
K04000001,England and Wales,5,Other ethnic group,2,Male,22,Aged 80 to 84 years,4319
K04000001,England and Wales,5,Other ethnic group,2,Male,23,Aged 85 years and over,3095
